x,y,r,g,b
0,0,0.0598812, 0.20528, 0.218959
0,1,0.0774934, 0.270281, 0.233674
0,2,0.0763825, 0.323001, 0.215964
0,3,0.0690031, 0.37416, 0.190569
0,4,0.0676461, 0.379212, 0.148207
0,5,0.0555035, 0.349056, 0.0878224
0,6,0.0613268, 0.265933, 0.0454885
0,7,0.0602222, 0.187216, 0.0229472
0,8,0.0687404, 0.119119, 0.0108505
0,9,0.0630629, 0.0684429, 0.00583951
1,0,0.077298, 0.331188, 0.342754
1,1,0.124936, 0.412569, 0.384811
1,2,0.121027, 0.492287, 0.379785
1,3,0.115809, 0.552751, 0.347657
1,4,0.140151, 0.591135, 0.28956
1,5,0.140015, 0.569079, 0.201552
1,6,0.146402, 0.467507, 0.117939
1,7,0.14906, 0.372429, 0.0662764
1,8,0.136168, 0.260116, 0.0240256
1,9,0.135009, 0.151501, 0.0114971
2,0,0.101235, 0.437237, 0.502048
2,1,0.134608, 0.524824, 0.552322
2,2,0.155058, 0.598276, 0.544558
2,3,0.174347, 0.654542, 0.496043
2,4,0.232696, 0.722338, 0.403595
2,5,0.251314, 0.718272, 0.293044
2,6,0.255966, 0.626592, 0.167762
2,7,0.26917, 0.529847, 0.0938725
2,8,0.254261, 0.4182, 0.0507629
2,9,0.212145, 0.290311, 0.0270576
3,0,0.111738, 0.490228, 0.6133
3,1,0.14508, 0.58494, 0.662774
3,2,0.192223, 0.666581, 0.649696
3,3,0.239514, 0.715276, 0.586492
3,4,0.321366, 0.803094, 0.470609
3,5,0.382216, 0.810372, 0.340883
3,6,0.41445, 0.735756, 0.217729
3,7,0.437196, 0.670905, 0.128749
3,8,0.414679, 0.574106, 0.0763249
3,9,0.355828, 0.431782, 0.0511081
4,0,0.127716, 0.493524, 0.730014
4,1,0.178984, 0.595448, 0.768739
4,2,0.242168, 0.677702, 0.744909
4,3,0.305313, 0.731709, 0.67769
4,4,0.406502, 0.830779, 0.553601
4,5,0.487256, 0.847709, 0.40485
4,6,0.554345, 0.79064, 0.266768
4,7,0.593374, 0.755625, 0.144819
4,8,0.568149, 0.654106, 0.0981543
4,9,0.49043, 0.516161, 0.057572
5,0,0.167365, 0.433786, 0.813215
5,1,0.243176, 0.538961, 0.832198
5,2,0.325176, 0.641346, 0.818692
5,3,0.401585, 0.724259, 0.762331
5,4,0.524785, 0.807128, 0.626958
5,5,0.625441, 0.805242, 0.465626
5,6,0.697571, 0.772569, 0.32037
5,7,0.750034, 0.741023, 0.192227
5,8,0.723035, 0.657707, 0.135172
5,9,0.639962, 0.534174, 0.0873429
6,0,0.261306, 0.352498, 0.832181
6,1,0.344096, 0.442418, 0.850972
6,2,0.435918, 0.54339, 0.836822
6,3,0.520167, 0.628782, 0.794941
6,4,0.642462, 0.725691, 0.686682
6,5,0.725049, 0.738454, 0.519274
6,6,0.777855, 0.688704, 0.361339
6,7,0.813617, 0.639718, 0.231231
6,8,0.818481, 0.573743, 0.1474
6,9,0.740604, 0.471539, 0.0981298
7,0,0.31068, 0.254253, 0.842626
7,1,0.419964, 0.349924, 0.863811
7,2,0.525863, 0.457766, 0.852716
7,3,0.613618, 0.5632, 0.823802
7,4,0.725337, 0.661566, 0.723887
7,5,0.793058, 0.67735, 0.565149
7,6,0.826203, 0.621095, 0.404906
7,7,0.853298, 0.561512, 0.263228
7,8,0.842803, 0.487781, 0.165901
7,9,0.785421, 0.405035, 0.099009
8,0,0.384847, 0.160348, 0.805652
8,1,0.509465, 0.241925, 0.863918
8,2,0.625095, 0.344122, 0.866809
8,3,0.714445, 0.466913, 0.834748
8,4,0.82225, 0.574091, 0.768768
8,5,0.866591, 0.607453, 0.612876
8,6,0.879526, 0.546305, 0.443603
8,7,0.874819, 0.462814, 0.285859
8,8,0.852696, 0.377076, 0.17138
8,9,0.7689, 0.319121, 0.111261
9,0,0.400466, 0.097027, 0.746557
9,1,0.585073, 0.169463, 0.822934
9,2,0.684499, 0.268079, 0.823103
9,3,0.761312, 0.380716, 0.80077
9,4,0.852495, 0.46011, 0.757604
9,5,0.884984, 0.479372, 0.612411
9,6,0.863784, 0.443738, 0.443258
9,7,0.847021, 0.372028, 0.305359
9,8,0.794099, 0.301655, 0.196875
9,9,0.706282, 0.229976, 0.110626
