x, y, beta, gamma, rx, ry
0,0,0.61404, 0.0842494, 0.0632073, 0.105906
0,1,0.959625, 0.135726, 0.0929, 0.164715
0,2,1.22548, 0.171951, 0.116116, 0.207623
0,3,1.34339, 0.20707, 0.128586, 0.228444
0,4,1.38638, 0.247169, 0.135181, 0.238402
0,5,1.38851, 0.298096, 0.138495, 0.242373
0,6,1.37626, 0.334157, 0.140079, 0.243196
0,7,1.35488, 0.368976, 0.140718, 0.242611
0,8,1.33318, 0.375459, 0.139267, 0.239609
0,9,1.26343, 0.386428, 0.134915, 0.229606
0,10,1.09248, 0.387189, 0.124236, 0.203551
0,11,0.825215, 0.354241, 0.103951, 0.159876
1,0,0.651587, 0.101915, 0.0636548, 0.110133
1,1,1.01351, 0.162333, 0.0975793, 0.174467
1,2,1.27003, 0.205802, 0.122798, 0.217528
1,3,1.35717, 0.276277, 0.13611, 0.235736
1,4,1.37907, 0.325967, 0.141858, 0.243243
1,5,1.35934, 0.394298, 0.147032, 0.24537
1,6,1.33841, 0.442926, 0.150138, 0.245888
1,7,1.30787, 0.501534, 0.153583, 0.245739
1,8,1.28526, 0.530119, 0.154944, 0.244357
1,9,1.24229, 0.554695, 0.154945, 0.239802
1,10,1.12047, 0.578063, 0.151257, 0.222943
1,11,0.89374, 0.589935, 0.140748, 0.18903
2,0,0.642262, 0.20971, 0.0775651, 0.121733
2,1,0.977784, 0.323057, 0.117543, 0.179913
2,2,1.19395, 0.402541, 0.140732, 0.220943
2,3,1.27186, 0.488773, 0.155391, 0.239546
2,4,1.28175, 0.542883, 0.161617, 0.245183
2,5,1.25648, 0.612753, 0.16782, 0.246755
2,6,1.23626, 0.657628, 0.17123, 0.247139
2,7,1.2, 0.729313, 0.177169, 0.247147
2,8,1.18377, 0.75221, 0.178309, 0.246378
2,9,1.15349, 0.773796, 0.179436, 0.24347
2,10,1.06506, 0.817574, 0.181204, 0.233411
2,11,0.88866, 0.86494, 0.179389, 0.209518
3,0,0.590903, 0.377334, 0.0986184, 0.12592
3,1,0.887406, 0.550543, 0.143939, 0.184137
3,2,1.07392, 0.667638, 0.169267, 0.223401
3,3,1.13736, 0.770729, 0.185155, 0.241227
3,4,1.14454, 0.822773, 0.192152, 0.246381
3,5,1.11506, 0.899007, 0.199604, 0.247833
3,6,1.09411, 0.94491, 0.203374, 0.248182
3,7,1.05796, 1.01724, 0.209894, 0.248279
3,8,1.04665, 1.0327, 0.210793, 0.247722
3,9,1.02735, 1.04821, 0.211607, 0.245955
3,10,0.962391, 1.10007, 0.21729, 0.24018
3,11,0.832047, 1.16359, 0.222575, 0.225793
4,0,0.533004, 0.558278, 0.121734, 0.128289
4,1,0.78724, 0.781356, 0.170746, 0.189064
4,2,0.939616, 0.945911, 0.202654, 0.22489
4,3,0.989437, 1.06173, 0.219659, 0.241777
4,4,1.00121, 1.10701, 0.22541, 0.247155
4,5,0.98118, 1.16639, 0.231039, 0.248683
4,6,0.958198, 1.21726, 0.235806, 0.249122
4,7,0.922857, 1.28881, 0.242573, 0.249326
4,8,0.908881, 1.31271, 0.244578, 0.249027
4,9,0.8895, 1.33904, 0.24744, 0.24818
4,10,0.839819, 1.40126, 0.256115, 0.245606
4,11,0.755277, 1.45846, 0.26318, 0.237727
5,0,0.426305, 0.84315, 0.162298, 0.139884
5,1,0.625144, 1.16052, 0.219533, 0.193097
5,2,0.735298, 1.3828, 0.256996, 0.228346
5,3,0.770315, 1.50898, 0.274845, 0.243898
5,4,0.774789, 1.56021, 0.281616, 0.248782
5,5,0.760923, 1.60759, 0.287293, 0.250395
5,6,0.744646, 1.64531, 0.291081, 0.250859
5,7,0.726, 1.68425, 0.293769, 0.250997
5,8,0.714599, 1.70426, 0.296805, 0.250896
5,9,0.700397, 1.72602, 0.29909, 0.250454
5,10,0.671095, 1.76417, 0.305507, 0.249119
5,11,0.619509, 1.79915, 0.311305, 0.244403
6,0,0.334144, 1.11379, 0.199217, 0.144974
6,1,0.489114, 1.51541, 0.268201, 0.200458
6,2,0.57306, 1.76314, 0.308046, 0.234645
6,3,0.608969, 1.86406, 0.32181, 0.247949
6,4,0.613157, 1.89473, 0.326595, 0.250975
6,5,0.60602, 1.921, 0.330605, 0.25206
6,6,0.596025, 1.94463, 0.33379, 0.252446
6,7,0.588525, 1.96065, 0.335736, 0.252585
6,8,0.576795, 1.98223, 0.339021, 0.252577
6,9,0.566867, 1.99703, 0.341202, 0.25229
6,10,0.548955, 2.01576, 0.344879, 0.251126
6,11,0.517691, 2.02612, 0.347057, 0.247373
7,0,0.283217, 1.35337, 0.237416, 0.156342
7,1,0.400333, 1.79701, 0.311073, 0.211281
7,2,0.464972, 2.03594, 0.350617, 0.240057
7,3,0.502379, 2.0942, 0.358349, 0.250354
7,4,0.502309, 2.12231, 0.363082, 0.252701
7,5,0.498082, 2.1392, 0.366256, 0.253486
7,6,0.48708, 2.16392, 0.370589, 0.253867
7,7,0.478779, 2.18116, 0.373491, 0.25404
7,8,0.466126, 2.20461, 0.378054, 0.25409
7,9,0.459923, 2.21314, 0.379458, 0.253854
7,10,0.449358, 2.22024, 0.380982, 0.252849
7,11,0.432916, 2.20321, 0.378577, 0.249098
8,0,0.236869, 1.47193, 0.257521, 0.160207
8,1,0.331666, 1.95819, 0.337488, 0.213322
8,2,0.38171, 2.21983, 0.38168, 0.242564
8,3,0.407763, 2.28068, 0.390961, 0.251346
8,4,0.411111, 2.30281, 0.394791, 0.253675
8,5,0.410875, 2.31257, 0.396722, 0.254512
8,6,0.404727, 2.32825, 0.399819, 0.254929
8,7,0.396194, 2.346, 0.403568, 0.255145
8,8,0.3807, 2.37491, 0.409646, 0.255265
8,9,0.375572, 2.3806, 0.410875, 0.255001
8,10,0.379582, 2.35996, 0.406758, 0.253853
8,11,0.376874, 2.31096, 0.398447, 0.24937
9,0,0.215662, 1.5043, 0.260239, 0.160984
9,1,0.297982, 2.01249, 0.348569, 0.212699
9,2,0.337, 2.3028, 0.397766, 0.242439
9,3,0.353077, 2.38963, 0.412684, 0.252034
9,4,0.358407, 2.40755, 0.415594, 0.254414
9,5,0.359415, 2.41459, 0.41704, 0.255186
9,6,0.355054, 2.42661, 0.419414, 0.255576
9,7,0.343872, 2.44972, 0.424148, 0.255863
9,8,0.318083, 2.49914, 0.43426, 0.256136
9,9,0.307496, 2.51505, 0.437498, 0.255895
9,10,0.333153, 2.44759, 0.423987, 0.25415
9,11,0.339792, 2.3679, 0.409686, 0.248721
10,0,0.190871, 1.46006, 0.253932, 0.151601
10,1,0.261429, 1.98945, 0.345655, 0.205798
10,2,0.295831, 2.32274, 0.403406, 0.237864
10,3,0.308818, 2.45925, 0.426947, 0.251204
10,4,0.307618, 2.50022, 0.434503, 0.25444
10,5,0.301849, 2.52425, 0.439101, 0.2556
10,6,0.298354, 2.53592, 0.441272, 0.256067
10,7,0.288929, 2.55569, 0.445247, 0.256332
10,8,0.273919, 2.5819, 0.450543, 0.256351
10,9,0.2799, 2.561, 0.446306, 0.255502
10,10,0.291398, 2.51173, 0.436848, 0.253217
10,11,0.29972, 2.39722, 0.416003, 0.244783
11,0,0.145595, 1.30114, 0.230553, 0.132481
11,1,0.198849, 1.85404, 0.324152, 0.186382
11,2,0.234055, 2.27342, 0.397969, 0.224287
11,3,0.247617, 2.50219, 0.437554, 0.245472
11,4,0.24311, 2.58674, 0.453129, 0.251897
11,5,0.244584, 2.6112, 0.457196, 0.254094
