x,y,r,g,b
0,0,0.056564, 0.175742, 0.265818
0,1,0.11976, 0.309325, 0.328289
0,2,0.202887, 0.441551, 0.436095
0,3,0.234727, 0.538813, 0.473147
0,4,0.302925, 0.629844, 0.483987
0,5,0.429029, 0.684333, 0.481792
0,6,0.391822, 0.615135, 0.336881
0,7,0.356061, 0.553146, 0.225999
0,8,0.297428, 0.443549, 0.15885
0,9,0.193126, 0.325464, 0.0623208
1,0,0.0765393, 0.219118, 0.331327
1,1,0.109967, 0.37167, 0.460478
1,2,0.213932, 0.504003, 0.545629
1,3,0.254865, 0.604007, 0.584748
1,4,0.343748, 0.682413, 0.55321
1,5,0.455419, 0.722372, 0.480654
1,6,0.457131, 0.682348, 0.341309
1,7,0.467175, 0.616272, 0.241529
1,8,0.428236, 0.520002, 0.185156
1,9,0.326766, 0.391023, 0.0873982
2,0,0.110711, 0.244298, 0.430683
2,1,0.15372, 0.379727, 0.557772
2,2,0.227522, 0.548363, 0.662683
2,3,0.295879, 0.607193, 0.65034
2,4,0.376801, 0.664901, 0.581988
2,5,0.502454, 0.695643, 0.481756
2,6,0.536008, 0.669169, 0.338459
2,7,0.572858, 0.631358, 0.247717
2,8,0.544831, 0.54062, 0.199434
2,9,0.427117, 0.414731, 0.101305
3,0,0.0935903, 0.24225, 0.466223
3,1,0.164835, 0.363526, 0.593341
3,2,0.280545, 0.469788, 0.68769
3,3,0.332909, 0.532543, 0.677629
3,4,0.430436, 0.588361, 0.603982
3,5,0.557311, 0.614983, 0.480232
3,6,0.607005, 0.602181, 0.349591
3,7,0.649232, 0.575816, 0.276629
3,8,0.632765, 0.526444, 0.185606
3,9,0.499871, 0.404744, 0.117611
4,0,0.120988, 0.196953, 0.43719
4,1,0.193057, 0.2906, 0.604675
4,2,0.292113, 0.36568, 0.686366
4,3,0.371004, 0.41223, 0.675523
4,4,0.489302, 0.460709, 0.599335
4,5,0.616703, 0.491522, 0.474197
4,6,0.681797, 0.484424, 0.350031
4,7,0.716139, 0.475552, 0.263793
4,8,0.682653, 0.438228, 0.172621
4,9,0.545242, 0.369149, 0.128695
5,0,0.102703, 0.143751, 0.396339
5,1,0.203017, 0.206549, 0.552468
5,2,0.330518, 0.257981, 0.663625
5,3,0.416912, 0.284144, 0.662929
5,4,0.562049, 0.322282, 0.610554
5,5,0.672381, 0.347163, 0.48567
5,6,0.732253, 0.357012, 0.357088
5,7,0.732781, 0.372535, 0.278083
5,8,0.685633, 0.363869, 0.185087
5,9,0.528661, 0.294032, 0.137891
6,0,0.0848712, 0.080044, 0.300386
6,1,0.194322, 0.117113, 0.445186
6,2,0.29792, 0.131245, 0.518319
6,3,0.438513, 0.148128, 0.55093
6,4,0.575313, 0.167973, 0.569737
6,5,0.68544, 0.203689, 0.461959
6,6,0.731485, 0.238755, 0.35587
6,7,0.712219, 0.255656, 0.289232
6,8,0.623622, 0.244206, 0.185129
6,9,0.46779, 0.212465, 0.137123
7,0,0.0551514, 0.0535222, 0.208315
7,1,0.132895, 0.0358022, 0.28952
7,2,0.269576, 0.0580021, 0.386615
7,3,0.370116, 0.0870849, 0.419317
7,4,0.520689, 0.104888, 0.450044
7,5,0.61894, 0.110931, 0.418249
7,6,0.623172, 0.132487, 0.325662
7,7,0.582764, 0.140305, 0.259424
7,8,0.502146, 0.140188, 0.183055
7,9,0.352908, 0.14431, 0.0728041
8,0,0.0535565, 0.0620397, 0.0669353
8,1,0.0923705, 0.0121819, 0.148296
8,2,0.187281, 0.0638458, 0.229226
8,3,0.294996, 0.0376445, 0.28828
8,4,0.395515, 0.060056, 0.304593
8,5,0.450263, 0.0620587, 0.277847
8,6,0.481767, 0.0529988, 0.227431
8,7,0.414463, 0.0570377, 0.185359
8,8,0.362909, 0.0693593, 0.119528
8,9,0.224656, 0.0463808, 0.0476713
9,0,0.00392157, 0.0431373, 0.0470588
9,1,0.0316188, 0.0722487, 0.0835526
9,2,0.105615, 0.0595408, 0.120284
9,3,0.186036, 0.00933718, 0.148682
9,4,0.263827, 0.0398697, 0.162551
9,5,0.266845, 0.0460693, 0.146569
9,6,0.27414, 0.0197205, 0.119363
9,7,0.255471, 0.0326722, 0.132364
9,8,0.193473, 0.0650205, 0.0575218
9,9,0.143532, 0.0272947, 0.0203539
