x,y,r,g,b
0,0,0.0991846, 0.426026, 0.474594
0,1,0.155698, 0.597989, 0.58483
0,2,0.183486, 0.679438, 0.620683
0,3,0.236147, 0.730601, 0.58803
0,4,0.344579, 0.767543, 0.563771
0,5,0.461413, 0.799667, 0.488941
0,6,0.507714, 0.794315, 0.376851
0,7,0.489651, 0.7705, 0.308384
0,8,0.427218, 0.705271, 0.206542
0,9,0.354741, 0.606902, 0.119113
1,0,0.122754, 0.442017, 0.542641
1,1,0.154447, 0.583929, 0.661585
1,2,0.207594, 0.660573, 0.707648
1,3,0.26931, 0.716723, 0.666436
1,4,0.376025, 0.765298, 0.611967
1,5,0.472872, 0.799358, 0.50265
1,6,0.514599, 0.818126, 0.366792
1,7,0.540783, 0.78699, 0.293485
1,8,0.532354, 0.754359, 0.20778
1,9,0.445715, 0.675536, 0.119269
2,0,0.14273, 0.371987, 0.638587
2,1,0.203437, 0.472923, 0.751905
2,2,0.267269, 0.545213, 0.775603
2,3,0.335698, 0.597666, 0.729935
2,4,0.432611, 0.66314, 0.663917
2,5,0.525055, 0.71329, 0.552207
2,6,0.583769, 0.755465, 0.397002
2,7,0.615069, 0.752048, 0.317559
2,8,0.596232, 0.721132, 0.227946
2,9,0.515487, 0.646827, 0.124439
3,0,0.155031, 0.308388, 0.670714
3,1,0.234372, 0.379307, 0.769732
3,2,0.331389, 0.435178, 0.801263
3,3,0.39114, 0.498882, 0.764497
3,4,0.489668, 0.58043, 0.697491
3,5,0.58802, 0.622871, 0.579532
3,6,0.650608, 0.676478, 0.415683
3,7,0.690097, 0.686687, 0.327355
3,8,0.664981, 0.655915, 0.216937
3,9,0.584507, 0.585112, 0.116807
4,0,0.160102, 0.183011, 0.636336
4,1,0.26874, 0.228093, 0.767
4,2,0.372191, 0.285014, 0.810662
4,3,0.46859, 0.334335, 0.766111
4,4,0.582657, 0.412644, 0.711085
4,5,0.671771, 0.445847, 0.593741
4,6,0.734036, 0.496039, 0.438185
4,7,0.750037, 0.502166, 0.337041
4,8,0.728499, 0.500556, 0.20707
4,9,0.639504, 0.454895, 0.125607
5,0,0.149206, 0.128216, 0.597741
5,1,0.273326, 0.160823, 0.726983
5,2,0.393081, 0.209023, 0.778891
5,3,0.512227, 0.243688, 0.741624
5,4,0.646505, 0.300114, 0.711225
5,5,0.711994, 0.309595, 0.597691
5,6,0.777375, 0.332568, 0.45041
5,7,0.775689, 0.328673, 0.347207
5,8,0.744959, 0.330368, 0.214859
5,9,0.636708, 0.283036, 0.137591
6,0,0.140239, 0.0869145, 0.484668
6,1,0.273262, 0.113065, 0.611467
6,2,0.387942, 0.154457, 0.670474
6,3,0.533376, 0.182785, 0.67234
6,4,0.655891, 0.207392, 0.667983
6,5,0.732765, 0.212932, 0.56593
6,6,0.79366, 0.227168, 0.436882
6,7,0.783091, 0.221822, 0.340192
6,8,0.733889, 0.211935, 0.200268
6,9,0.608129, 0.193863, 0.135875
7,0,0.119015, 0.0736521, 0.386474
7,1,0.247453, 0.0882454, 0.49106
7,2,0.36441, 0.121653, 0.563007
7,3,0.497937, 0.130995, 0.583039
7,4,0.642292, 0.126199, 0.614802
7,5,0.71634, 0.124204, 0.527914
7,6,0.779647, 0.111857, 0.418199
7,7,0.728272, 0.102758, 0.324363
7,8,0.645377, 0.0954571, 0.190405
7,9,0.511685, 0.0966506, 0.0977379
8,0,0.110731, 0.0748709, 0.245416
8,1,0.216774, 0.0717934, 0.358522
8,2,0.315496, 0.125401, 0.425195
8,3,0.447769, 0.102105, 0.475592
8,4,0.569089, 0.104779, 0.504005
8,5,0.640357, 0.0956445, 0.444393
8,6,0.683203, 0.0721369, 0.359802
8,7,0.626214, 0.063192, 0.283998
8,8,0.535632, 0.0626503, 0.161197
8,9,0.408223, 0.0374416, 0.0799717
9,0,0.0661241, 0.0631837, 0.125419
9,1,0.153006, 0.0919961, 0.21335
9,2,0.233271, 0.0930968, 0.266995
9,3,0.357756, 0.0636513, 0.317166
9,4,0.45121, 0.0750128, 0.340173
9,5,0.495447, 0.069561, 0.310734
9,6,0.512034, 0.039378, 0.255851
9,7,0.474212, 0.0356641, 0.213957
9,8,0.380947, 0.0560189, 0.105225
9,9,0.313846, 0.0287, 0.061601
