x,y,r,g,b
0,0,0.0819537, 0.398855, 0.483488
0,1,0.166114, 0.555087, 0.610128
0,2,0.211283, 0.638499, 0.659243
0,3,0.276485, 0.70327, 0.653103
0,4,0.398985, 0.77513, 0.642104
0,5,0.495885, 0.817979, 0.544885
0,6,0.492776, 0.812336, 0.393911
0,7,0.456591, 0.79315, 0.311712
0,8,0.379419, 0.74524, 0.192155
0,9,0.324149, 0.690031, 0.115002
1,0,0.107864, 0.412098, 0.564873
1,1,0.172788, 0.538428, 0.688784
1,2,0.237362, 0.616299, 0.738485
1,3,0.315655, 0.690024, 0.729174
1,4,0.448893, 0.783926, 0.710112
1,5,0.515783, 0.821813, 0.571625
1,6,0.506472, 0.835813, 0.397061
1,7,0.500007, 0.817298, 0.309884
1,8,0.452114, 0.792626, 0.191439
1,9,0.361063, 0.757065, 0.11601
2,0,0.130683, 0.361039, 0.658254
2,1,0.205463, 0.457999, 0.776968
2,2,0.282356, 0.532833, 0.795367
2,3,0.364815, 0.600555, 0.779284
2,4,0.483226, 0.683399, 0.723132
2,5,0.560875, 0.740691, 0.599189
2,6,0.565155, 0.781194, 0.419241
2,7,0.571424, 0.797182, 0.333222
2,8,0.524288, 0.761282, 0.217835
2,9,0.451648, 0.708469, 0.136197
3,0,0.150816, 0.314736, 0.685612
3,1,0.24853, 0.400703, 0.777728
3,2,0.331846, 0.457942, 0.812533
3,3,0.404717, 0.526046, 0.802651
3,4,0.526263, 0.615365, 0.74805
3,5,0.605331, 0.661646, 0.613706
3,6,0.616478, 0.71166, 0.434919
3,7,0.628852, 0.724136, 0.346259
3,8,0.597597, 0.695425, 0.218459
3,9,0.531175, 0.640238, 0.136924
4,0,0.165354, 0.208422, 0.665402
4,1,0.285521, 0.289284, 0.790804
4,2,0.376617, 0.345468, 0.830619
4,3,0.467722, 0.397175, 0.805542
4,4,0.576947, 0.479937, 0.731188
4,5,0.670314, 0.50949, 0.613881
4,6,0.696973, 0.555012, 0.457776
4,7,0.702257, 0.557524, 0.362636
4,8,0.686139, 0.542957, 0.218712
4,9,0.611833, 0.503279, 0.144416
5,0,0.154767, 0.152012, 0.621468
5,1,0.27952, 0.201489, 0.746416
5,2,0.386622, 0.247852, 0.793567
5,3,0.49607, 0.281786, 0.765747
5,4,0.623555, 0.351, 0.708431
5,5,0.703723, 0.360892, 0.592589
5,6,0.753563, 0.379542, 0.45589
5,7,0.746141, 0.37366, 0.36302
5,8,0.731703, 0.3624, 0.234693
5,9,0.640106, 0.314671, 0.160264
6,0,0.149383, 0.098587, 0.493269
6,1,0.287637, 0.140036, 0.625433
6,2,0.396224, 0.182443, 0.683015
6,3,0.532262, 0.211256, 0.6876
6,4,0.64838, 0.238953, 0.66814
6,5,0.725007, 0.241538, 0.568173
6,6,0.775848, 0.2535, 0.445518
6,7,0.765312, 0.247156, 0.356007
6,8,0.726775, 0.224622, 0.214178
6,9,0.612307, 0.203907, 0.150106
7,0,0.119015, 0.0736521, 0.386474
7,1,0.247453, 0.0882454, 0.49106
7,2,0.36441, 0.121653, 0.563007
7,3,0.497937, 0.130995, 0.583039
7,4,0.643212, 0.134222, 0.603869
7,5,0.713562, 0.135727, 0.517158
7,6,0.771442, 0.127822, 0.412048
7,7,0.723268, 0.121257, 0.325057
7,8,0.646865, 0.112606, 0.200699
7,9,0.520201, 0.109694, 0.110721
8,0,0.110731, 0.0748709, 0.245416
8,1,0.216774, 0.0717934, 0.358522
8,2,0.315496, 0.125401, 0.425195
8,3,0.447769, 0.102105, 0.475592
8,4,0.571906, 0.111411, 0.499035
8,5,0.641351, 0.104853, 0.440072
8,6,0.682387, 0.0845104, 0.358531
8,7,0.628245, 0.076967, 0.2865
8,8,0.541816, 0.0754737, 0.169346
8,9,0.418224, 0.0489079, 0.0897881
9,0,0.0661241, 0.0631837, 0.125419
9,1,0.153006, 0.0919961, 0.21335
9,2,0.233271, 0.0930968, 0.266995
9,3,0.357756, 0.0636513, 0.317166
9,4,0.45121, 0.0750128, 0.340173
9,5,0.495447, 0.069561, 0.310734
9,6,0.512034, 0.039378, 0.255851
9,7,0.474212, 0.0356641, 0.213957
9,8,0.380947, 0.0560189, 0.105225
9,9,0.313846, 0.0287, 0.061601
